"Name","AdminCount","GroupCategory","GroupScope","ManagedBy","SID","SIDHistory","Description","whenCreated","whenChanged","DistinguishedName","CanonicalName"
"Administrators","1","Security","DomainLocal","","S-1-5-32-544","","Administrators have complete and unrestricted access to the computer/domain","16/03/2018 5:21:13 PM","21/03/2018 4:47:52 PM","CN=Administrators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Administrators"
"Users",,"Security","DomainLocal","","S-1-5-32-545","","Users are prevented from making accidental or intentional system-wide changes and can run most applications","16/03/2018 5:21:13 PM","16/03/2018 5:22:29 PM","CN=Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Users"
"Guests",,"Security","DomainLocal","","S-1-5-32-546","","Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted","16/03/2018 5:21:13 PM","16/03/2018 5:22:29 PM","CN=Guests,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Guests"
"Print Operators","1","Security","DomainLocal","","S-1-5-32-550","","Members can administer printers installed on domain controllers","16/03/2018 5:21:13 PM","21/03/2018 4:47:52 PM","CN=Print Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Print Operators"
"Backup Operators","1","Security","DomainLocal","","S-1-5-32-551","","Backup Operators can override security restrictions for the sole purpose of backing up or restoring files","16/03/2018 5:21:13 PM","21/03/2018 4:47:52 PM","CN=Backup Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Backup Operators"
"Replicator","1","Security","DomainLocal","","S-1-5-32-552","","Supports file replication in a domain","16/03/2018 5:21:13 PM","16/03/2018 5:37:40 PM","CN=Replicator,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Replicator"
"Remote Desktop Users",,"Security","DomainLocal","","S-1-5-32-555","","Members in this group are granted the right to logon remotely","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=Remote Desktop Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Remote Desktop Users"
"Network Configuration Operators",,"Security","DomainLocal","","S-1-5-32-556","","Members in this group can have some administrative privileges to manage configuration of networking features","16/03/2018 5:21:13 PM","21/03/2018 4:47:52 PM","CN=Network Configuration Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Network Configuration Operators"
"Performance Monitor Users",,"Security","DomainLocal","","S-1-5-32-558","","Members of this group can access performance counter data locally and remotely","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=Performance Monitor Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Performance Monitor Users"
"Performance Log Users",,"Security","DomainLocal","","S-1-5-32-559","","Members of this group may schedule logging of performance counters, enable trace providers, and collect event traces both locally and via remote access to this computer","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=Performance Log Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Performance Log Users"
"Distributed COM Users",,"Security","DomainLocal","","S-1-5-32-562","","Members are allowed to launch, activate and use Distributed COM objects on this machine.","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=Distributed COM Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Distributed COM Users"
"IIS_IUSRS",,"Security","DomainLocal","","S-1-5-32-568","","Built-in group used by Internet Information Services.","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=IIS_IUSRS,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/IIS_IUSRS"
"Cryptographic Operators",,"Security","DomainLocal","","S-1-5-32-569","","Members are authorized to perform cryptographic operations.","16/03/2018 5:21:13 PM","21/03/2018 4:47:52 PM","CN=Cryptographic Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Cryptographic Operators"
"Event Log Readers",,"Security","DomainLocal","","S-1-5-32-573","","Members of this group can read event logs from local machine","16/03/2018 5:21:13 PM","13/07/2018 2:23:59 PM","CN=Event Log Readers,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Event Log Readers"
"Certificate Service DCOM Access",,"Security","DomainLocal","","S-1-5-32-574","","Members of this group are allowed to connect to Certification Authorities in the enterprise","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=Certificate Service DCOM Access,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Certificate Service DCOM Access"
"RDS Remote Access Servers",,"Security","DomainLocal","","S-1-5-32-575","","Servers in this group enable users of RemoteApp programs and personal virtual desktops access to these resources. In Internet-facing deployments, these servers are typically deployed in an edge network. This group needs to be populated on servers running RD Connection Broker. RD Gateway servers and RD Web Access servers used in the deployment need to be in this group.","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=RDS Remote Access Servers,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/RDS Remote Access Servers"
"RDS Endpoint Servers",,"Security","DomainLocal","","S-1-5-32-576","","Servers in this group run virtual machines and host sessions where users RemoteApp programs and personal virtual desktops run. This group needs to be populated on servers running RD Connection Broker. RD Session Host servers and RD Virtualization Host servers used in the deployment need to be in this group.","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=RDS Endpoint Servers,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/RDS Endpoint Servers"
"RDS Management Servers",,"Security","DomainLocal","","S-1-5-32-577","","Servers in this group can perform routine administrative actions on servers running Remote Desktop Services. This group needs to be populated on all servers in a Remote Desktop Services deployment. The servers running the RDS Central Management service must be included in this group.","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=RDS Management Servers,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/RDS Management Servers"
"Hyper-V Administrators",,"Security","DomainLocal","","S-1-5-32-578","","Members of this group have complete and unrestricted access to all features of Hyper-V.","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=Hyper-V Administrators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Hyper-V Administrators"
"Access Control Assistance Operators",,"Security","DomainLocal","","S-1-5-32-579","","Members of this group can remotely query authorization attributes and permissions for resources on this computer.","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=Access Control Assistance Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Access Control Assistance Operators"
"Remote Management Users",,"Security","DomainLocal","","S-1-5-32-580","","Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user.","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=Remote Management Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Remote Management Users"
"System Managed Accounts Group",,"Security","DomainLocal","","S-1-5-32-581","","Members of this group are managed by the system.","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=System Managed Accounts Group,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/System Managed Accounts Group"
"Storage Replica Administrators",,"Security","DomainLocal","","S-1-5-32-582","","Members of this group have complete and unrestricted access to all features of Storage Replica.","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=Storage Replica Administrators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Storage Replica Administrators"
"Domain Computers",,"Security","Global","","S-1-5-21-2872888145-3513486857-3924934394-515","","All workstations and servers joined to the domain","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","CN=Domain Computers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Domain Computers"
"Domain Controllers","1","Security","Global","","S-1-5-21-2872888145-3513486857-3924934394-516","","All domain controllers in the domain","16/03/2018 5:22:29 PM","16/03/2018 5:37:40 PM","CN=Domain Controllers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Domain Controllers"
"Schema Admins","1","Security","Universal","","S-1-5-21-2872888145-3513486857-3924934394-518","","Designated administrators of the schema","16/03/2018 5:22:29 PM","21/03/2018 4:47:52 PM","CN=Schema Admins,CN=Users,DC=sos,DC=labs","sos.labs/Users/Schema Admins"
"Enterprise Admins","1","Security","Universal","","S-1-5-21-2872888145-3513486857-3924934394-519","","Designated administrators of the enterprise","16/03/2018 5:22:29 PM","21/03/2018 4:47:52 PM","CN=Enterprise Admins,CN=Users,DC=sos,DC=labs","sos.labs/Users/Enterprise Admins"
"Cert Publishers",,"Security","DomainLocal","","S-1-5-21-2872888145-3513486857-3924934394-517","","Members of this group are permitted to publish certificates to the directory","16/03/2018 5:22:29 PM","21/03/2018 4:47:52 PM","CN=Cert Publishers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Cert Publishers"
"Domain Admins","1","Security","Global","","S-1-5-21-2872888145-3513486857-3924934394-512","","Designated administrators of the domain","16/03/2018 5:22:29 PM","21/03/2018 4:47:58 PM","CN=Domain Admins,CN=Users,DC=sos,DC=labs","sos.labs/Users/Domain Admins"
"Domain Users",,"Security","Global","","S-1-5-21-2872888145-3513486857-3924934394-513","","All domain users","16/03/2018 5:22:29 PM","21/03/2018 4:47:58 PM","CN=Domain Users,CN=Users,DC=sos,DC=labs","sos.labs/Users/Domain Users"
"Domain Guests",,"Security","Global","","S-1-5-21-2872888145-3513486857-3924934394-514","","All domain guests","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","CN=Domain Guests,CN=Users,DC=sos,DC=labs","sos.labs/Users/Domain Guests"
"Group Policy Creator Owners",,"Security","Global","","S-1-5-21-2872888145-3513486857-3924934394-520","","Members in this group can modify group policy for the domain","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","CN=Group Policy Creator Owners,CN=Users,DC=sos,DC=labs","sos.labs/Users/Group Policy Creator Owners"
"RAS and IAS Servers",,"Security","DomainLocal","","S-1-5-21-2872888145-3513486857-3924934394-553","","Servers in this group can access remote access properties of users","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","CN=RAS and IAS Servers,CN=Users,DC=sos,DC=labs","sos.labs/Users/RAS and IAS Servers"
"Server Operators","1","Security","DomainLocal","","S-1-5-32-549","","Members can administer domain servers","16/03/2018 5:22:29 PM","21/03/2018 4:47:52 PM","CN=Server Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Server Operators"
"Account Operators","1","Security","DomainLocal","","S-1-5-32-548","","Members can administer domain user and group accounts","16/03/2018 5:22:29 PM","21/03/2018 4:47:52 PM","CN=Account Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Account Operators"
"Pre-Windows 2000 Compatible Access",,"Security","DomainLocal","","S-1-5-32-554","","A backward compatibility group which allows read access on all users and groups in the domain","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Pre-Windows 2000 Compatible Access"
"Incoming Forest Trust Builders",,"Security","DomainLocal","","S-1-5-32-557","","Members of this group can create incoming, one-way trusts to this forest","16/03/2018 5:22:29 PM","21/03/2018 4:47:52 PM","CN=Incoming Forest Trust Builders,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Incoming Forest Trust Builders"
"Windows Authorization Access Group",,"Security","DomainLocal","","S-1-5-32-560","","Members of this group have access to the computed tokenGroupsGlobalAndUniversal attribute on User objects","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","CN=Windows Authorization Access Group,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Windows Authorization Access Group"
"Terminal Server License Servers",,"Security","DomainLocal","","S-1-5-32-561","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","CN=Terminal Server License Servers,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Terminal Server License Servers"
"Allowed RODC Password Replication Group",,"Security","DomainLocal","","S-1-5-21-2872888145-3513486857-3924934394-571","","Members in this group can have their passwords replicated to all read-only domain controllers in the domain","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","CN=Allowed RODC Password Replication Group,CN=Users,DC=sos,DC=labs","sos.labs/Users/Allowed RODC Password Replication Group"
"Denied RODC Password Replication Group",,"Security","DomainLocal","","S-1-5-21-2872888145-3513486857-3924934394-572","","Members in this group cannot have their passwords replicated to any read-only domain controllers in the domain","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","CN=Denied RODC Password Replication Group,CN=Users,DC=sos,DC=labs","sos.labs/Users/Denied RODC Password Replication Group"
"Read-only Domain Controllers","1","Security","Global","","S-1-5-21-2872888145-3513486857-3924934394-521","","Members of this group are Read-Only Domain Controllers in the domain","16/03/2018 5:22:29 PM","16/03/2018 5:37:40 PM","CN=Read-only Domain Controllers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Read-only Domain Controllers"
"Enterprise Read-only Domain Controllers",,"Security","Universal","","S-1-5-21-2872888145-3513486857-3924934394-498","","Members of this group are Read-Only Domain Controllers in the enterprise","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Enterprise Read-only Domain Controllers"
"Cloneable Domain Controllers",,"Security","Global","","S-1-5-21-2872888145-3513486857-3924934394-522","","Members of this group that are domain controllers may be cloned.","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","CN=Cloneable Domain Controllers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Cloneable Domain Controllers"
"Protected Users",,"Security","Global","","S-1-5-21-2872888145-3513486857-3924934394-525","","Members of this group are afforded additional protections against authentication security threats. See http://go.microsoft.com/fwlink/?LinkId=298939 for more information.","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","CN=Protected Users,CN=Users,DC=sos,DC=labs","sos.labs/Users/Protected Users"
"Key Admins",,"Security","Global","","S-1-5-21-2872888145-3513486857-3924934394-526","","Members of this group can perform administrative actions on key objects within the domain.","16/03/2018 5:22:29 PM","16/03/2018 5:22:29 PM","CN=Key Admins,CN=Users,DC=sos,DC=labs","sos.labs/Users/Key Admins"
"Enterprise Key Admins",,"Security","Universal","","S-1-5-21-2872888145-3513486857-3924934394-527","","Members of this group can perform administrative actions on key objects within the forest.","16/03/2018 5:22:29 PM","21/03/2018 4:47:52 PM","CN=Enterprise Key Admins,CN=Users,DC=sos,DC=labs","sos.labs/Users/Enterprise Key Admins"
"DnsAdmins",,"Security","DomainLocal","","S-1-5-21-2872888145-3513486857-3924934394-1101","","DNS Administrators Group","16/03/2018 5:23:09 PM","21/03/2018 4:47:52 PM","CN=DnsAdmins,CN=Users,DC=sos,DC=labs","sos.labs/Users/DnsAdmins"
"DnsUpdateProxy",,"Security","Global","","S-1-5-21-2872888145-3513486857-3924934394-1102","","DNS clients who are permitted to perform dynamic updates on behalf of some other clients (such as DHCP servers).","16/03/2018 5:23:09 PM","16/03/2018 5:23:09 PM","CN=DnsUpdateProxy,CN=Users,DC=sos,DC=labs","sos.labs/Users/DnsUpdateProxy"
"DHCP Users",,"Security","DomainLocal","","S-1-5-21-2872888145-3513486857-3924934394-1106","","Members who have view-only access to the DHCP service","18/03/2018 5:15:31 PM","18/03/2018 5:15:31 PM","CN=DHCP Users,CN=Users,DC=sos,DC=labs","sos.labs/Users/DHCP Users"
"DHCP Administrators",,"Security","DomainLocal","","S-1-5-21-2872888145-3513486857-3924934394-1107","","Members who have administrative access to the DHCP Service","18/03/2018 5:15:31 PM","18/03/2018 5:15:31 PM","CN=DHCP Administrators,CN=Users,DC=sos,DC=labs","sos.labs/Users/DHCP Administrators"
"Workstation Admins",,"Security","Global","","S-1-5-21-2872888145-3513486857-3924934394-1119","S-1-5-21-2872888145-3513486857-3924934394-512","","21/03/2018 4:37:54 PM","17/07/2018 1:10:33 PM","CN=Workstation Admins,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/Workstation Admins"
"Microsoft Advanced Threat Analytics Administrators",,"Security","DomainLocal","","S-1-5-21-2872888145-3513486857-3924934394-1129","","Microsoft Advanced Threat Analytics Administrators","11/07/2018 8:17:26 PM","11/07/2018 8:17:26 PM","CN=Microsoft Advanced Threat Analytics Administrators,CN=Users,DC=sos,DC=labs","sos.labs/Users/Microsoft Advanced Threat Analytics Administrators"
"Microsoft Advanced Threat Analytics Users",,"Security","DomainLocal","","S-1-5-21-2872888145-3513486857-3924934394-1130","","Microsoft Advanced Threat Analytics Users","11/07/2018 8:17:26 PM","11/07/2018 8:17:26 PM","CN=Microsoft Advanced Threat Analytics Users,CN=Users,DC=sos,DC=labs","sos.labs/Users/Microsoft Advanced Threat Analytics Users"
"Microsoft Advanced Threat Analytics Viewers",,"Security","DomainLocal","","S-1-5-21-2872888145-3513486857-3924934394-1131","","Microsoft Advanced Threat Analytics Viewers","11/07/2018 8:17:26 PM","11/07/2018 8:17:26 PM","CN=Microsoft Advanced Threat Analytics Viewers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Microsoft Advanced Threat Analytics Viewers"
"Test",,"Security","Global","","S-1-5-21-2872888145-3513486857-3924934394-1132","S-1-5-21-2872888145-3513486857-3924934394-512,S-1-5-21-2872888145-3513486857-3924934394-1119","","17/07/2018 1:10:56 PM","17/07/2018 1:11:24 PM","CN=Test,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/Test"
