Name,UserName,Enabled,Cannot Change Password,Password Never Expires,Must Change Password at Logon,Days Since Last Password Change,Password Not Changed after Max Age,Account Locked Out,Never Logged in,Days Since Last Logon,Dormant (> 90 days),Reversibly Encryped Password,Password Not Required,Trusted for Delegation,Trusted to Auth for Delegation,Does Not Require Pre Auth,Logon Workstations,AdminCount,Primary GroupID,SID,SIDHistory,Description,Password LastSet,Last Logon Date,When Created,When Changed,DistinguishedName,CanonicalName
"Administrator","Administrator","True","False","True","False","40","False","False","False","1","False","False","False","False","False","False","","1","513","S-1-5-21-2248324977-2314973842-2121952795-500","","Built-in account for administering the computer/domain","1/12/2017 11:48:23 AM","9/01/2018 10:08:00 PM","1/12/2017 12:04:54 PM","9/01/2018 10:08:00 PM","CN=Administrator,CN=Users,DC=sos,DC=labs","sos.labs/Users/Administrator"
"Guest","Guest","False","False","True","True","-1","False","False","True","-1","False","False","True","False","False","False","","","514","S-1-5-21-2248324977-2314973842-2121952795-501","","Built-in account for guest access to the computer/domain","1/01/0001 12:00:00 AM","1/01/0001 12:00:00 AM","1/12/2017 12:04:54 PM","1/12/2017 12:04:54 PM","CN=Guest,CN=Users,DC=sos,DC=labs","sos.labs/Users/Guest"
"DefaultAccount","DefaultAccount","False","False","True","True","-1","False","False","True","-1","False","False","True","False","False","False","","","513","S-1-5-21-2248324977-2314973842-2121952795-503","","A user account managed by the system.","1/01/0001 12:00:00 AM","1/01/0001 12:00:00 AM","1/12/2017 12:04:54 PM","1/12/2017 12:04:54 PM","CN=DefaultAccount,CN=Users,DC=sos,DC=labs","sos.labs/Users/DefaultAccount"
"krbtgt","krbtgt","False","False","False","False","40","False","False","True","-1","False","False","False","False","False","False","","1","513","S-1-5-21-2248324977-2314973842-2121952795-502","","Key Distribution Center Service Account","1/12/2017 12:05:57 PM","1/01/0001 12:00:00 AM","1/12/2017 12:05:57 PM","1/12/2017 12:21:08 PM","CN=krbtgt,CN=Users,DC=sos,DC=labs","sos.labs/Users/krbtgt"
"User 2","user2","True","False","False","True","-1","False","False","True","-1","False","False","False","False","False","False","","","513","S-1-5-21-2248324977-2314973842-2121952795-1106","","Must Change Password at Next Logon","1/01/0001 12:00:00 AM","1/01/0001 12:00:00 AM","1/12/2017 12:16:47 PM","1/12/2017 12:22:54 PM","CN=User 2,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/User 2"
"User 1","user1","True","False","True","False","40","False","False","False","1","False","False","False","False","False","False","","1","513","S-1-5-21-2248324977-2314973842-2121952795-1105","","Passowrd Never Expires","1/12/2017 12:16:14 PM","9/01/2018 10:09:04 PM","1/12/2017 12:16:14 PM","9/01/2018 10:09:04 PM","CN=User 1,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/User 1"
"User 4","user4","False","False","False","False","40","False","False","True","-1","False","False","False","False","False","False","","","513","S-1-5-21-2248324977-2314973842-2121952795-1108","","Disabled","1/12/2017 12:17:25 PM","1/01/0001 12:00:00 AM","1/12/2017 12:17:25 PM","1/12/2017 12:23:24 PM","CN=User 4,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/User 4"
"User 3","user3","True","True","False","False","40","False","False","True","-1","False","False","False","False","False","False","","","513","S-1-5-21-2248324977-2314973842-2121952795-1107","","Cannot Change Password","1/12/2017 12:17:06 PM","1/01/0001 12:00:00 AM","1/12/2017 12:17:06 PM","1/12/2017 12:23:10 PM","CN=User 3,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/User 3"
"User 5","user5","True","False","False","False","40","False","False","True","-1","False","True","False","False","False","True","","","513","S-1-5-21-2248324977-2314973842-2121952795-1109","","Reversible Encryption and Does not require Pre-Auth","1/12/2017 12:17:45 PM","1/01/0001 12:00:00 AM","1/12/2017 12:17:45 PM","1/12/2017 12:23:54 PM","CN=User 5,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/User 5"
"User","user","True","False","True","False","40","False","False","True","-1","False","False","False","False","False","False","DC1","1","513","S-1-5-21-2248324977-2314973842-2121952795-1111","","","1/12/2017 12:24:23 PM","1/01/0001 12:00:00 AM","1/12/2017 12:24:23 PM","1/12/2017 1:21:08 PM","CN=User,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/User"