Group Name, Member UserName, Member Name, AccountType
"Group Policy Creator Owners","Administrator","Administrator","user"
"Domain Admins","Administrator","Administrator","user"
"Enterprise Admins","Administrator","Administrator","user"
"Schema Admins","Administrator","Administrator","user"
"Administrators","Administrator","Administrator","user"
"Guests","Guest","Guest","user"
"System Managed Accounts Group","DefaultAccount","DefaultAccount","user"
"Denied RODC Password Replication Group","krbtgt","krbtgt","user"
"Denied RODC Password Replication Group","-","Domain Controllers","group"
"Denied RODC Password Replication Group","-","Schema Admins","group"
"Denied RODC Password Replication Group","-","Enterprise Admins","group"
"Administrators","-","Enterprise Admins","group"
"Denied RODC Password Replication Group","-","Cert Publishers","group"
"Denied RODC Password Replication Group","-","Domain Admins","group"
"Administrators","-","Domain Admins","group"
"Users","-","Domain Users","group"
"Guests","-","Domain Guests","group"
"Denied RODC Password Replication Group","-","Group Policy Creator Owners","group"
"Denied RODC Password Replication Group","-","Read-only Domain Controllers","group"
"Win7 Admins","user1","User 1","user"
"Administrators","user","User","user"