Name,Service,Host
"DC1","Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04","DC1.sos.labs"
"DC1","ldap","DC1.sos.labs"
"DC1","ldap","DC1.sos.labs"
"DC1","DNS","DC1.sos.labs"
"DC1","GC","DC1.sos.labs"
"DC1","RestrictedKrbHost","DC1.sos.labs"
"DC1","RestrictedKrbHost","DC1"
"DC1","RPC","0e629b7c-9f7f-468d-85ed-f6496b2a6b34._msdcs.sos.labs"
"DC1","HOST","DC1"
"DC1","HOST","DC1.sos.labs"
"DC1","HOST","DC1"
"DC1","HOST","DC1.sos.labs"
"DC1","HOST","DC1.sos.labs"
"DC1","E3514235-4B06-11D1-AB04-00C04FC2DCD2","0e629b7c-9f7f-468d-85ed-f6496b2a6b34"
"DC1","ldap","DC1"
"DC1","ldap","0e629b7c-9f7f-468d-85ed-f6496b2a6b34._msdcs.sos.labs"
"DC1","ldap","DC1.sos.labs"
"DC1","ldap","DC1"
"DC1","ldap","DC1.sos.labs"
"DC1","ldap","DC1.sos.labs"
"WIN7-OFFICE","TERMSRV","WIN7-OFFICE"
"WIN7-OFFICE","TERMSRV","Win7-Office.sos.labs"
"WIN7-OFFICE","RestrictedKrbHost","WIN7-OFFICE"
"WIN7-OFFICE","HOST","WIN7-OFFICE"
"WIN7-OFFICE","RestrictedKrbHost","WIN7-OFFICE.sos.labs"
"WIN7-OFFICE","HOST","WIN7-OFFICE.sos.labs"